ID,型号,品牌,所在地,类别,市场层级,价格状态,价格说明,官网,采购动作,核验备注,来源ID
mycobot-pro-600,myCobot Pro 600,大象机器人,深圳,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.elephantrobotics.com/en/mycobot-pro-600-en/,索取教育/科研正式报价、交付周期、维保和培训条款,Elephant Robotics 官方产品页确认 myCobot Pro 600 为 6 自由度、600 mm 工作半径、2 kg 级负载的教学/轻协作平台，并提供 ROS/MoveIt/Python/C++ 等开发资源；价格需按版本确认。,SRC030;SRCV9002
hans-elfin-e5,Han's Robot Elfin E5,大族机器人,深圳,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.hansrobot.net/products/elfin-collaborative-robot.html,索取教育/科研正式报价、交付周期、维保和培训条款,Han's Robot 官方 Elfin 系列资料确认 E5 为 5 kg 级、约 800 mm 工作半径的 6 轴协作臂；价格和教育采购需厂商正式报价。,SRCV3024;SRCV9005
jaka-mini,JAKA MiniCobo,节卡机器人,上海,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.jaka.com.cn/,索取教育/科研正式报价、交付周期、维保和培训条款,JAKA Zu 系列型号与负载分档已由产品资料确认；臂展和重复精度需按具体规格书复核。,SRC027;SRCV5003
jaka-zu12,JAKA Zu 12,节卡机器人,上海,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.jaka.com.cn/,索取教育/科研正式报价、交付周期、维保和培训条款,JAKA Zu 系列型号与负载分档已由产品资料确认；臂展和重复精度需按具体规格书复核。,SRC027;SRCV5003
jaka-zu18,JAKA Zu 18,节卡机器人,上海,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.jaka.com.cn/,索取教育/科研正式报价、交付周期、维保和培训条款,JAKA Zu 系列型号与负载分档已由产品资料确认；臂展和重复精度需按具体规格书复核。,SRC027;SRCV5003
jaka-zu3,JAKA Zu 3,节卡机器人,上海,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.jaka.com.cn/,索取教育/科研正式报价、交付周期、维保和培训条款,JAKA Zu 系列型号与负载分档已由产品资料确认；臂展和重复精度需按具体规格书复核。,SRC027;SRCV5003
rokae-xmate-cr7,ROKAE xMate CR7,珞石机器人,北京,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.rokae.com/en/collaborative-robots,索取教育/科研正式报价、交付周期、维保和培训条款,ROKAE 官方协作机器人资料确认 xMate CR7 为 7 kg 级协作臂产品线，支持柔性拖动、力控和工业协作应用；详细规格和价格需厂商确认。,SRCV3023;SRCV9007
realman-rm63,RealMan RM63,睿尔曼智能,北京,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://realman-robotics.com/en/products/rml63.html,索取教育/科研正式报价、交付周期、维保和培训条款,RealMan 官方 RML63 规格页确认 6 自由度、3 kg 负载、900-917 mm 工作半径、±0.05 mm 重复定位精度和可选六维力版本；价格需厂商正式报价。,SRC028;SRCV8005
realman-rm75,RealMan RM75,睿尔曼智能,北京,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.realman-robotics.com/en/products/rm75.html,索取教育/科研正式报价、交付周期、维保和培训条款,RealMan 官方 RM75 规格页确认 7 自由度、5 kg 负载、610-627 mm 工作半径、±0.05 mm 重复定位精度和可选六维力版本；价格需厂商正式报价。,SRC028;SRCV8006
siasun-gcr5,SIASUN GCR5,新松机器人,沈阳,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.siasun.com/,索取教育/科研正式报价、交付周期、维保和培训条款,新松官网可确认 GCR 系列协作机器人产品线和国产厂商入口；GCR5 详细参数、价格和开发接口需厂商规格书确认。,SRCV3025;SRCV9008
dobot-cr10,DOBOT CR10,越疆机器人,深圳,机械臂,重点候选,供货状态待确认,价格不公开/需确认可供货,https://www.dobot.cn/products/cr-series/dobot-cr-series.html?lang=cn,先确认是否仍可供货，再索取配置报价,DOBOT 中文官方规格表已确认 CR 系列核心参数；发布时间和正式采购价仍未公开。,SRC022;SRCV5001
dobot-cr12,DOBOT CR12,越疆机器人,深圳,机械臂,重点候选,供货状态待确认,价格不公开/需确认可供货,https://www.dobot.cn/products/cr-series/dobot-cr-series.html?lang=cn,先确认是否仍可供货，再索取配置报价,DOBOT 中文官方规格表已确认 CR 系列核心参数；发布时间和正式采购价仍未公开。,SRC022;SRCV5001
dobot-cr16,DOBOT CR16,越疆机器人,深圳,机械臂,重点候选,供货状态待确认,价格不公开/需确认可供货,https://www.dobot.cn/products/cr-series/dobot-cr-series.html?lang=cn,先确认是否仍可供货，再索取配置报价,DOBOT 中文官方规格表已确认 CR 系列核心参数；发布时间和正式采购价仍未公开。,SRC022;SRCV5001
dobot-cr20a,DOBOT CR20A,越疆机器人,深圳,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.dobot-robots.com/products/cra-series/cr20a.html,索取教育/科研正式报价、交付周期、维保和培训条款,DOBOT CR20A 官方规格页确认 20 kg 负载、1700 mm 工作半径、±0.05 mm 重复定位精度、IP54 和工业接口；价格需厂商正式报价。,SRC022;SRCV5001;SRCV8001
dobot-cr3,DOBOT CR3,越疆机器人,深圳,机械臂,重点候选,供货状态待确认,价格不公开/需确认可供货,https://www.dobot.cn/products/cr-series/dobot-cr-series.html?lang=cn,先确认是否仍可供货，再索取配置报价,DOBOT 中文官方规格表已确认 CR 系列核心参数；发布时间和正式采购价仍未公开。,SRC022;SRCV5001
dobot-cr5a,DOBOT CR5A,越疆机器人,深圳,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.dobot-robots.com/products/cra-series/cra.html?lang=en%3Ftype%3D57,索取教育/科研正式报价、交付周期、维保和培训条款,DOBOT CRA 官方系列页确认 CR5A 型号、5 kg 负载、900 mm 工作半径、±0.02 mm 重复定位精度和 DobotStudio Pro 口径；价格需厂商正式报价。,SRC022;SRCV5001;SRCV8002
dobot-cr7,DOBOT CR7,越疆机器人,深圳,机械臂,重点候选,供货状态待确认,价格不公开/需确认可供货,https://www.dobot.cn/products/cr-series/dobot-cr-series.html?lang=cn,先确认是否仍可供货，再索取配置报价,DOBOT 中文官方规格表已确认 CR 系列核心参数；发布时间和正式采购价仍未公开。,SRC022;SRCV5001
dobot-nova2,DOBOT Nova 2,越疆机器人,深圳,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.dobot-robots.com/products/nova-series/nova2.html,索取教育/科研正式报价、交付周期、维保和培训条款,DOBOT Nova 2 官方规格页确认 2 kg 负载、625 mm 工作半径、±0.05 mm 重复定位精度和 CR/Nova 软件手册入口；价格需厂商正式报价。,SRCV3001;SRCV8003
dobot-nova5,DOBOT Nova 5,越疆机器人,深圳,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.dobot-robots.com/products/nova-series/nova5.html,索取教育/科研正式报价、交付周期、维保和培训条款,DOBOT Nova 5 官方规格页确认 5 kg 负载、850 mm 工作半径、±0.05 mm 重复定位精度和 CR/Nova 软件手册入口；价格需厂商正式报价。,SRCV3002;SRCV8004
abb-gofa-crb15000,ABB GoFa CRB 15000,ABB,瑞士/瑞典,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://new.abb.com/products/robotics/robots/collaborative-robots/gofa,索取教育/科研正式报价、交付周期、维保和培训条款,ABB 官方协作机器人页确认 GoFa/YuMi 系列定位、RobotStudio/RAPID 软件生态和规格入口。,SRCV3015;SRCV4001;SRCV7006
abb-yumi-irb14000,ABB YuMi IRB 14000,ABB,瑞士/瑞典,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://new.abb.com/products/robotics/robots/collaborative-robots/yumi,索取教育/科研正式报价、交付周期、维保和培训条款,ABB 官方协作机器人页确认 GoFa/YuMi 系列定位、RobotStudio/RAPID 软件生态和规格入口。,SRCV3016;SRCV4001;SRCV7006
fanuc-crx-10ia-l,FANUC CRX-10iA/L,FANUC,日本,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.fanucamerica.com/products/robots/series/collaborative-robots,索取教育/科研正式报价、交付周期、维保和培训条款,FANUC 官方协作机器人资料确认 CRX 系列型号、负载分档、臂展和 ROBOGUIDE/控制器生态。,SRCV3019;SRCV4001;SRCV7007
fanuc-crx-25ia,FANUC CRX-25iA,FANUC,日本,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.fanucamerica.com/products/robots/series/collaborative-robots,索取教育/科研正式报价、交付周期、维保和培训条款,FANUC 官方协作机器人资料确认 CRX 系列型号、负载分档、臂展和 ROBOGUIDE/控制器生态。,SRCV3019;SRCV4001;SRCV7007
franka-fr3,Franka Research 3,Franka Robotics,德国,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://franka.de/research,索取教育/科研正式报价、交付周期、维保和培训条款,Franka 官方 Research 3 页面确认 7 自由度、3 kg 负载、855 mm 工作空间、关节力矩传感和 Franka Control Interface / ROS2 生态；价格需厂商正式报价。,SRC044;SRCV9003
kinova-gen3-lite,Kinova Gen3 Lite,Kinova,加拿大,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.kinovarobotics.com/product/gen3-lite-robots,索取教育/科研正式报价、交付周期、维保和培训条款,Kinova 官方产品页确认 Gen3 Lite 6 自由度、约 0.5 kg 载荷、约 760 mm 伸展距离、Kortex API、ROS 和 MoveIt 生态；价格需厂商正式报价。,SRCV4003;SRCV9006
kuka-lbr-iisy,KUKA LBR iisy,KUKA,德国,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.kuka.com/en-de/products/robotics-systems/industrial-robots/lbr-iisy,索取教育/科研正式报价、交付周期、维保和培训条款,KUKA 官方产品资料确认 LBR iisy / LBR iiwa 系列型号、负载分档和软件接口生态；价格需厂商正式报价。,SRCV3018;SRCV4001;SRCV7004
kuka-lbr-iiwa,KUKA LBR iiwa,KUKA,德国,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.kuka.com/en-de/products/robotics-systems/industrial-robots/lbr-iiwa,索取教育/科研正式报价、交付周期、维保和培训条款,KUKA 官方产品资料确认 LBR iisy / LBR iiwa 系列型号、负载分档和软件接口生态；价格需厂商正式报价。,SRCV3017;SRCV4001;SRCV7004
xarm-5,xArm 5,UFACTORY,深圳,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.ufactory.cc/xarm-collaborative-robot/,索取教育/科研正式报价、交付周期、维保和培训条款,UFACTORY 官方页确认 xArm 5 为 5 自由度、3 kg 负载、700 mm 工作半径、±0.1 mm 重复定位精度，并提供 ROS/ROS2/SDK 生态；价格需厂商正式报价。,SRC018;SRCV9009
ur10e,Universal Robots UR10e,Universal Robots,丹麦,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.universal-robots.com/products/ur10e/,索取教育/科研正式报价、交付周期、维保和培训条款,Universal Robots 官方产品资料确认型号、负载、臂展和软件接口；价格仍需代理正式报价。,SRC046;SRCV4001;SRCV6001
ur12e,Universal Robots UR12e,Universal Robots,丹麦,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.universal-robots.com/products/ur12e/,索取教育/科研正式报价、交付周期、维保和培训条款,Universal Robots 官方产品资料确认型号、负载、臂展和软件接口；价格仍需代理正式报价。,SRC046;SRCV4001;SRCV6001
ur15,Universal Robots UR15,Universal Robots,丹麦,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.universal-robots.com/products/,索取教育/科研正式报价、交付周期、维保和培训条款,Universal Robots 官方产品资料确认型号、负载、臂展和软件接口；价格仍需代理正式报价。,SRCV4002;SRCV6001
ur16e,Universal Robots UR16e,Universal Robots,丹麦,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.universal-robots.com/products/ur16e/,索取教育/科研正式报价、交付周期、维保和培训条款,Universal Robots 官方产品资料确认型号、负载、臂展和软件接口；价格仍需代理正式报价。,SRC046;SRCV4001;SRCV6001
ur20,Universal Robots UR20,Universal Robots,丹麦,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.universal-robots.com/products/ur20/,索取教育/科研正式报价、交付周期、维保和培训条款,Universal Robots 官方产品资料确认型号、负载、臂展和软件接口；价格仍需代理正式报价。,SRC046;SRCV4001;SRCV6001
ur30,Universal Robots UR30,Universal Robots,丹麦,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.universal-robots.com/products/ur30/,索取教育/科研正式报价、交付周期、维保和培训条款,Universal Robots 官方产品资料确认型号、负载、臂展和软件接口；价格仍需代理正式报价。,SRC046;SRCV4001;SRCV6001
ur3e,Universal Robots UR3e,Universal Robots,丹麦,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.universal-robots.com/products/ur3e/,索取教育/科研正式报价、交付周期、维保和培训条款,Universal Robots 官方产品资料确认型号、负载、臂展和软件接口；价格仍需代理正式报价。,SRC046;SRCV4001;SRCV6001
ur7e,Universal Robots UR7e,Universal Robots,丹麦,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.universal-robots.com/products/ur7e/,索取教育/科研正式报价、交付周期、维保和培训条款,Universal Robots 官方产品资料确认型号、负载、臂展和软件接口；价格仍需代理正式报价。,SRC046;SRCV4001;SRCV6001
ur8-long,Universal Robots UR8 Long,Universal Robots,丹麦,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.universal-robots.com/products/ur8-long/,索取教育/科研正式报价、交付周期、维保和培训条款,Universal Robots 官方产品资料确认型号、负载、臂展和软件接口；价格仍需代理正式报价。,SRCV4002;SRCV6001
yaskawa-hc10dt,Yaskawa HC10DT,Yaskawa Motoman,日本,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.motoman.com/en-us/products/robots/industrial/collaborative/hc10dt,索取教育/科研正式报价、交付周期、维保和培训条款,Yaskawa Motoman 官方资料确认 HC10DT 10 kg 负载、约 1200 mm 水平伸展、协作安全和工业控制器生态；价格需厂商正式报价。,SRCV3020;SRCV9010
limx-w1,LimX Dynamics W1,逐际动力,深圳,移动/复合机器人,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.limxdynamics.com/en,先确认是否仍可供货，再索取配置报价,LimX 官网和历史资料可确认 W1/P1 属于逐际动力早期足式/轮足产品线；当前官网未公开可采购规格页，采购前需由厂商确认是否仍供货、正式参数和开发接口。,SRC017;SRCV8009;SRCV11001
fetch-mobile-manipulator,Fetch Mobile Manipulator,Fetch / Zebra,美国,移动/复合机器人,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.zebra.com/us/en/products/autonomous-mobile-robots.html,先确认是否仍可供货，再索取配置报价,Fetch 已并入 Zebra，当前官网主推 AMR 产品组合；Fetch Mobile Manipulator 可作为历史科研生态项保留，但新采购支持和供货需确认。,SRCV3014;SRCV9011
mujin-truckbot,Mujin TruckBot,Mujin,日本/美国,移动/复合机器人,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://mujin-corp.com/products/truckbot/,先确认是否仍可供货，再索取配置报价,Mujin 官方产品入口确认 TruckBot 物流卸货移动机器人和 Mujin Controller 系统；具体规格、价格和学校适配性需正式报价。,SRCV4009;SRCV9015
agilex-bunker-mini,AgileX Bunker Mini,松灵机器人,深圳,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://global.agilex.ai/products/bunker-mini,索取教育/科研正式报价、交付周期、维保和培训条款,AgileX 官方产品页和手册入口确认底盘型号、负载分档和 ROS/SDK 资源；发布时间和正式报价需正式报价。,SRC034;SRCV7001
agilex-bunker-pro,AgileX Bunker Pro,松灵机器人,深圳,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://global.agilex.ai/products/bunker-pro,索取教育/科研正式报价、交付周期、维保和培训条款,AgileX 官方页确认 BUNKER PRO 负载、续航、速度和开放 SDK 口径。,SRC034;SRCV5005
agilex-hunter-se,AgileX Hunter SE,松灵机器人,深圳,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://global.agilex.ai/products/hunter-se,索取教育/科研正式报价、交付周期、维保和培训条款,AgileX 官方产品页和手册入口确认底盘型号、负载分档和 ROS/SDK 资源；发布时间和正式报价需正式报价。,SRC348;SRCV7001
agilex-limo-pro,AgileX LIMO Pro,松灵机器人,深圳,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://global.agilex.ai/,索取教育/科研正式报价、交付周期、维保和培训条款,AgileX 官方产品页和手册入口确认底盘型号、负载分档和 ROS/SDK 资源；发布时间和正式报价需正式报价。,SRC034;SRCV7001
agilex-ranger-mini,AgileX Ranger Mini,松灵机器人,深圳,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://global.agilex.ai/,索取教育/科研正式报价、交付周期、维保和培训条款,AgileX 官方产品页和手册入口确认底盘型号、负载分档和 ROS/SDK 资源；发布时间和正式报价需正式报价。,SRC034;SRCV7001
agilex-scout-2,AgileX Scout 2.0,松灵机器人,深圳,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://global.agilex.ai/products/scout-2-0,索取教育/科研正式报价、交付周期、维保和培训条款,AgileX 官方产品页和手册入口确认底盘型号、负载分档和 ROS/SDK 资源；发布时间和正式报价需正式报价。,SRC034;SRCV7001
agilex-scout-mini,AgileX Scout Mini,松灵机器人,深圳,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://global.agilex.ai/products/scout-mini,索取教育/科研正式报价、交付周期、维保和培训条款,AgileX 官方产品页和手册入口确认底盘型号、负载分档和 ROS/SDK 资源；发布时间和正式报价需正式报价。,SRC347;SRCV7001
agilex-tracer,AgileX Tracer,松灵机器人,深圳,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://global.agilex.ai/pages/tracer,索取教育/科研正式报价、交付周期、维保和培训条款,AgileX 官方产品页和手册入口确认底盘型号、负载分档和 ROS/SDK 资源；发布时间和正式报价需正式报价。,SRC349;SRCV7001
galaxea-r1,Galaxea R1,银河通用,北京,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://docs.galaxea-ai.com/Guide/R1Pro/hardware_introduction/R1Pro_Hardware_Introduction/,索取教育/科研正式报价、交付周期、维保和培训条款,Galaxea R1 Pro 官方文档确认 26 自由度、双臂移动平台、3.5 kg 额定单臂负载、5 kg 最大单臂负载、1680 Wh 电池和科研使用边界；价格按渠道确认。,SRC058;SRCV8017
clearpath-dingo,Clearpath Dingo,Clearpath / ROBOTIS,加拿大/韩国,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://clearpathrobotics.com/dingo-indoor-mobile-robot/,索取教育/科研正式报价、交付周期、维保和培训条款,Clearpath 官方 ROS2 文档确认平台系列的 ROS2/Nav2 支持；硬件规格以各型号页和数据表为准。,SRCV4005;SRCV5007
clearpath-husky,Clearpath Husky,Clearpath / ROBOTIS,加拿大/韩国,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://clearpathrobotics.com/husky-unmanned-ground-vehicle-robot/,索取教育/科研正式报价、交付周期、维保和培训条款,Clearpath 官方 ROS2 文档确认平台系列的 ROS2/Nav2 支持；硬件规格以各型号页和数据表为准。,SRC346;SRCV4001;SRCV5007
clearpath-jackal,Clearpath Jackal,Clearpath / ROBOTIS,加拿大/韩国,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://clearpathrobotics.com/jackal-small-unmanned-ground-vehicle/,索取教育/科研正式报价、交付周期、维保和培训条款,Clearpath 官方 ROS2 文档确认平台系列的 ROS2/Nav2 支持；硬件规格以各型号页和数据表为准。,SRC345;SRCV4001;SRCV5007
clearpath-warthog,Clearpath Warthog,Clearpath / ROBOTIS,加拿大/韩国,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://clearpathrobotics.com/warthog-unmanned-ground-vehicle-robot/,索取教育/科研正式报价、交付周期、维保和培训条款,Clearpath 官方 ROS2 文档确认平台系列的 ROS2/Nav2 支持；硬件规格以各型号页和数据表为准。,SRCV4006;SRCV5007
stretch-2,Hello Robot Stretch 2,Hello Robot,美国,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://hello-robot.com/stretch-2,索取教育/科研正式报价、交付周期、维保和培训条款,Hello Robot 官方资料确认 Stretch 2 移动操作平台、ROS/ROS2、Python API 和研究生态；当前采购需按新版 Stretch 型号与厂商确认。,SRC061;SRCV9012
husarion-lynx,Husarion LYNX,Husarion,波兰,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://husarion.com/manuals/lynx/,索取教育/科研正式报价、交付周期、维保和培训条款,Husarion 官方手册确认 LYNX 为 ROS 2 移动平台，具备户外/室内运行、IP54、可扩展传感器和 ROS 2 软件栈；价格需厂商正式报价。,SRCV4007;SRCV9014
husarion-panther,Husarion Panther,Husarion,波兰,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://husarion.com/manuals/panther/,索取教育/科研正式报价、交付周期、维保和培训条款,Husarion 官方手册确认 Panther 负载、速度、续航和 ROS/ROS2 开源驱动。,SRCV3038;SRCV5006
kuka-kmp-600-s,KUKA KMP 600-S,KUKA,德国,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://www.kuka.com/en-de/products/mobility/mobile-platforms/kmp-600-s,索取教育/科研正式报价、交付周期、维保和培训条款,KUKA 官方产品页确认 KMP 600-S 工业移动平台和 600 kg 级负载定位；价格和交付需正式报价。,SRCV3036;SRCV7004
mir100,MiR100,Mobile Industrial Robots,丹麦,移动/复合机器人,重点候选,供货状态待确认,价格不公开/需确认可供货,https://www.mobile-industrial-robots.com/solutions/robots/,先确认是否仍可供货，再索取配置报价,MiR 官方产品资料确认 AMR 负载、速度、续航和 Fleet/API 口径；发布时间和价格未公开。,SRCV3032;SRCV4001;SRCV6002
mir250,MiR250,Mobile Industrial Robots,丹麦,移动/复合机器人,重点候选,供货状态待确认,价格不公开/需确认可供货,https://www.mobile-industrial-robots.com/solutions/robots/mir250/,先确认是否仍可供货，再索取配置报价,MiR 官方产品资料确认 AMR 负载、速度、续航和 Fleet/API 口径；发布时间和价格未公开。,SRCV3033;SRCV4001;SRCV6002
mir600,MiR600,Mobile Industrial Robots,丹麦,移动/复合机器人,重点候选,供货状态待确认,价格不公开/需确认可供货,https://www.mobile-industrial-robots.com/solutions/robots/mir600/,先确认是否仍可供货，再索取配置报价,MiR 官方产品资料确认 AMR 负载、速度、续航和 Fleet/API 口径；发布时间和价格未公开。,SRCV3034;SRCV4001;SRCV6002
neobotix-mpo-700,Neobotix MPO-700,Neobotix,德国,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://www.neobotix-robots.com/mobile-robots/omnidirectional-robots/mpo-700,索取教育/科研正式报价、交付周期、维保和培训条款,Neobotix 官方产品页确认 MPO-700 全向移动机器人、100 kg 级载荷、研究/工业移动平台定位和 ROS/导航接口；价格需厂商正式报价。,SRCV3037;SRCV9016
omron-ld60,OMRON LD-60,OMRON,日本,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://robotics.omron.com/products/mobile-robots/ld-series/,索取教育/科研正式报价、交付周期、维保和培训条款,OMRON 官方 LD 系列页确认 LD-60/LD-90 负载、速度、续航、安全传感器和 MobilePlanner 控制接口；价格需厂商正式报价。,SRCV3035;SRCV8007
omron-ld90,OMRON LD-90,OMRON,日本,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://robotics.omron.com/products/mobile-robots/ld-series/,索取教育/科研正式报价、交付周期、维保和培训条款,OMRON 官方 LD 系列页确认 LD-60/LD-90 负载、速度、续航、安全传感器和 MobilePlanner 控制接口；价格需厂商正式报价。,SRCV3035;SRCV8007
pal-arI,PAL Robotics ARI,PAL Robotics,西班牙,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://pal-robotics.com/robots/ari/,索取教育/科研正式报价、交付周期、维保和培训条款,PAL 官方资料确认机器人系列、科研平台定位和 ROS 生态；负载/价格按具体配置询价。,SRC064;SRCV6003
pal-tiago-pro,PAL Robotics TIAGo Pro,PAL Robotics,西班牙,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://pal-robotics.com/robots/tiago-pro/,索取教育/科研正式报价、交付周期、维保和培训条款,PAL 官方资料确认机器人系列、科研平台定位和 ROS 生态；负载/价格按具体配置询价。,SRC064;SRCV6003
robotnik-rb1-base,Robotnik RB-1 Base,Robotnik,西班牙,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://robotnik.eu/products/mobile-robots/rb-1-base/,索取教育/科研正式报价、交付周期、维保和培训条款,Robotnik 官方 RB-1 Base 产品页确认移动底盘、ROS/ROS2 和可扩展接口；价格需厂商正式报价。,SRC118;SRCV5008;SRCV13001
